dates,link,title
1533052800000,http://www.zjzfcg.gov.cn/innerUsed_noticeDetails/index.html?noticeId=2441001,嘉善县国土资源局不动产登记数据和系统维护的合同公示
1533052800000,http://www.zjzfcg.gov.cn/innerUsed_noticeDetails/index.html?noticeId=2441253,关于台州市人力资源和社会保障局全市人事档案一体化管理系统项目的中标结果公告[台州天利招标有限公司]
1533052800000,http://www.zjzfcg.gov.cn/innerUsed_noticeDetails/index.html?noticeId=2440237,海宁市档案局惠普台式计算机的协议供货合同公告
1533052800000,http://www.zjzfcg.gov.cn/innerUsed_noticeDetails/index.html?noticeId=2441085,关于大数据中心运行维护工作人员劳务外包项目（第二次）竞争性磋商的公告[浙江建航工程咨询有限公司]
1533052800000,http://www.zjzfcg.gov.cn/innerUsed_noticeDetails/index.html?noticeId=2441253,关于台州市人力资源和社会保障局全市人事档案一体化管理系统项目的中标结果公告[台州天利招标有限公司]
1533052800000,http://www.zjzfcg.gov.cn/innerUsed_noticeDetails/index.html?noticeId=2441230,平湖市平湖中学电子班牌设备的在线询价合同公告
1533052800000,http://www.zjzfcg.gov.cn/innerUsed_noticeDetails/index.html?noticeId=2441637,关于绍兴市越城区鉴湖初级中学室外LED电子屏供货项目（重招）公开招标的公告[绍兴市公共资源交易中心越城区分中心]
1533052800000,http://www.zjzfcg.gov.cn/innerUsed_noticeDetails/index.html?noticeId=2440533,关于丽水市清新空气（负氧离子）自动监测站及数据发布系统建设项目的结果公告[丽水市公共资源交易中心]
1533052800000,http://www.zjzfcg.gov.cn/innerUsed_noticeDetails/index.html?noticeId=2441323,关于龙游县规划局智慧龙游地理时空大数据与云服务平台项目的结果公告（重发）[衢州市开成工程造价咨询事务所有限公司]
1533052800000,http://www.zjzfcg.gov.cn/innerUsed_noticeDetails/index.html?noticeId=2440533,关于丽水市清新空气（负氧离子）自动监测站及数据发布系统建设项目的结果公告[丽水市公共资源交易中心]
